wkt_geom,id,building_id,level,age,access_point,time,comment,function,population
LINESTRING(30.315571 59.968368;30.315597 59.968497;30.315916 59.968475;30.315978 59.968678;30.316266 59.968658;30.316170 59.968326;30.315571 59.968368;30.315571 59.968368),103,3,5,3,30,1,n/a,office,1
LINESTRING(30.315571 59.968368;30.315597 59.968497;30.315916 59.968475;30.315978 59.968678;30.316266 59.968658;30.316170 59.968326;30.315571 59.968368;30.315571 59.968368),99,3,1,3,30,1,n/a,office,1
LINESTRING(30.315571 59.968368;30.315597 59.968497;30.315916 59.968475;30.315978 59.968678;30.316266 59.968658;30.316170 59.968326;30.315571 59.968368;30.315571 59.968368),100,3,2,3,30,1,n/a,office,1
LINESTRING(30.315571 59.968368;30.315597 59.968497;30.315916 59.968475;30.315978 59.968678;30.316266 59.968658;30.316170 59.968326;30.315571 59.968368;30.315571 59.968368),101,3,3,3,30,1,n/a,office,1
LINESTRING(30.315571 59.968368;30.315597 59.968497;30.315916 59.968475;30.315978 59.968678;30.316266 59.968658;30.316170 59.968326;30.315571 59.968368;30.315571 59.968368),102,3,4,3,30,1,n/a,office,1
LINESTRING(30.315783 59.968055;30.316103 59.968037;30.316134 59.968196;30.315818 59.968213;30.315783 59.968055;30.315783 59.968055),108,5,5,3,31,1,n/a,office,1
LINESTRING(30.315783 59.968055;30.316103 59.968037;30.316134 59.968196;30.315818 59.968213;30.315783 59.968055;30.315783 59.968055),104,5,1,3,31,1,pelmennaya,restaurant,2
LINESTRING(30.315783 59.968055;30.316103 59.968037;30.316134 59.968196;30.315818 59.968213;30.315783 59.968055;30.315783 59.968055),105,5,2,3,31,1,n/a,office,1
LINESTRING(30.315783 59.968055;30.316103 59.968037;30.316134 59.968196;30.315818 59.968213;30.315783 59.968055;30.315783 59.968055),106,5,3,3,31,1,n/a,office,1
LINESTRING(30.315783 59.968055;30.316103 59.968037;30.316134 59.968196;30.315818 59.968213;30.315783 59.968055;30.315783 59.968055),107,5,4,3,31,1,n/a,office,1
LINESTRING(30.318019 59.970557;30.318034 59.970747;30.318862 59.970720;30.318863 59.970763;30.318978 59.970760;30.318972 59.970714;30.319092 59.970709;30.318920 59.970344;30.318626 59.970360;30.318712 59.970540;30.318259 59.970569;30.318251 59.970534;30.318019 59.970557;30.318019 59.970557),125,14,7,2,32,1,med college,education,1
LINESTRING(30.318019 59.970557;30.318034 59.970747;30.318862 59.970720;30.318863 59.970763;30.318978 59.970760;30.318972 59.970714;30.319092 59.970709;30.318920 59.970344;30.318626 59.970360;30.318712 59.970540;30.318259 59.970569;30.318251 59.970534;30.318019 59.970557;30.318019 59.970557),119,14,1,2,32,1,med college,education,1
