access_point1,access_point2,dist
20,7,24939.766
20,8,15526.463
20,9,14175.594
20,16,5435.81
20,17,2185.0103
20,18,231.7443
20,19,2008.7867
20,21,3562.915
20,34,8675.873
20,35,70268.16
20,36,83968.836
20,37,21293.879
20,38,91007.04
20,39,71675.25
20,41,9610.8545
21,1,43335.426
21,2,51579.816
21,3,57286.117
21,4,69811.375
21,5,95418.67
21,6,94829.766
21,31,78330.59
21,30,87650.91
21,29,105482.1
21,24,113315.586
21,23,30979.992
21,25,11908.791
21,27,8988.136
21,28,117319.305
21,26,4164.009
21,22,129577.45
21,10,74920.69
21,11,68873.54
21,12,3701.574
21,13,14512.812
21,32,61194.637
21,33,45370.254
21,14,13515.997
21,15,10186.665
21,7,33553.6
21,8,27863.129
21,9,27740.152
21,16,917.4191
21,17,2545.909
21,18,2265.1494
21,19,294.05243
21,20,3619.596
21,34,7918.8584
21,35,92242.15
21,36,113315.586
21,37,36961.38
21,38,127455.125
21,39,70976.51
21,41,4497.3994
34,1,14789.558
34,2,20046.418
34,3,23999.35
34,4,33254.39
34,5,53359.54
34,6,52916.355
34,31,40026.348
34,30,47634.586
34,29,64028.918
34,24,71299.04
34,23,10278.03
34,25,16680.627
34,27,13674.365
34,28,76121.69
34,26,7067.4053
34,22,93610.164
34,10,42696.7
34,11,29492.727
34,12,1140.9047
34,13,2978.7795
34,32,23214.508
34,33,13048.544
34,14,846.66003
34,15,238.57901
34,7,9255.74
34,8,7661.425
34,9,7665.9917
34,16,3940.3213
34,17,6905.713
34,18,8085.984
34,19,8582.9795
34,20,8752.189
34,21,8215.355
34,35,51947.203
34,36,71299.04
34,37,14075.54
34,38,89729.445
34,39,31997.33
34,41,782.27893
35,1,15645.642
35,2,10821.727
35,3,8112.7417
35,4,3527.4873
35,5,4589.249
35,6,4413.767
35,31,1489.9321
35,30,1848.3037
35,29,1342.1536
35,24,4215.1797
35,23,50772.46
35,25,71322.086
35,27,68883.73
35,28,6491.184
35,26,61088.87
35,22,22573.082
35,10,60811.01
35,11,93516.17
35,12,63488.445
35,13,73149.82
35,32,97401.04
35,33,67043.72
35,14,53054.27
35,15,49117.71
35,7,22998.227
35,8,48878.152
35,9,48709.266
35,16,74062.76
35,17,63360.84
35,18,63310.668
35,19,73243.13
35,20,63667.637
35,21,84569.195
35,34,53446.234
35,36,4215.1797
35,37,53996.13
35,38,18130.195
35,39,85853.26
35,41,61658.94
36,1,27577.932
36,2,22693.207
36,3,19570.828
36,4,13478.948
36,5,13783.457
36,6,13504.342
36,31,9932.655
36,30,10288.902
36,29,853.50543
36,23,56073.91
36,25,64220.51
36,27,63597.914
36,28,895.58417
36,26,60351.46
36,22,9004.434
36,10,34893.58
36,11,58127.105
36,12,64633.164
36,13,72058.88
36,32,73499.32
36,33,70169.74
36,14,57824.656
36,15,54740.375
36,7,34289.016
36,8,54882.734
36,9,54691.812
36,16,71734.88
36,17,62104.164
36,18,61657.574
36,19,67591.24
36,20,61655.855
36,21,78625.79
36,34,57796.742
36,35,4598.9194
36,37,59292.164
36,38,6413.813
36,39,52546.652
36,41,63328.324
37,1,15653.634
37,2,17019.924
37,3,17757.225
37,4,19765.127
37,5,25676.805
37,6,25602.115
37,31,21910.984
37,30,24641.062
37,29,33492.914
37,24,38166.637
37,23,1076.9825
37,25,28252.633
37,27,25443.707
37,28,42462.684
37,26,17384.912
37,22,61954.355
37,10,96282.086
37,11,67389.04
37,12,21476.973
37,13,28988.988
37,32,51160.53
37,33,28744.01
37,14,14665.842
37,15,12061.78
37,7,12884.215
37,8,2732.4233
37,9,2107.5408
37,16,30145.6
37,17,19101.768
37,18,19445.398
37,19,28596.02
37,20,19906.396
37,21,33849.17
37,34,13714.832
37,35,27023.445
37,36,38166.637
37,38,56956.695
37,39,73778.836
37,41,19013.42
38,1,59674.664
38,2,52026.86
38,3,46896.344
38,4,36186.59
38,5,37942.613
38,6,37448.45
38,31,29422.258
38,30,31078.479
38,29,9933.564
38,24,6643.699
38,23,101086.74
38,25,108072.32
38,27,106462.14
38,28,2979.2424
38,26,103337.69
38,22,264.0
38,10,12537.0625
38,11,29521.488
38,12,105541.2
38,13,112740.42
38,32,43108.65
38,33,65091.95
38,14,99029.35
38,15,95636.11
38,7,69385.75
38,8,98034.64
38,9,97871.93
38,16,111308.375
38,17,104372.74
38,18,104019.875
38,19,107696.47
38,20,104155.56
38,21,115904.27
38,34,98986.16
38,35,18869.352
38,36,6643.699
38,37,106556.72
38,39,24960.775
38,41,104466.01
39,1,52540.605
39,2,61006.504
39,3,66997.336
39,4,80517.016
39,5,100193.55
39,6,99556.36
39,31,88186.086
39,30,91050.65
39,29,55973.027
39,24,49686.332
39,23,52214.324
39,25,67912.25
39,27,63934.97
39,28,40974.09
39,26,55576.996
39,22,21824.291
39,10,3460.2146
39,11,312.0
39,12,48308.05
39,13,50569.566
39,32,3612.0
39,33,12884.117
39,14,44967.99
39,15,43012.55
39,7,42630.105
39,8,47766.547
39,9,47740.45
39,16,50387.227
39,17,55156.13
39,18,56594.324
39,19,60993.52
39,20,57550.73
39,21,53011.723
39,34,45105.3
39,35,72172.35
39,36,49686.332
39,37,58486.316
39,38,25581.746
39,41,48178.258
41,1,23075.322
41,2,29376.81
41,3,33934.273
41,4,44289.152
41,5,66125.63
41,6,65632.586
41,31,51626.465
41,30,59744.156
41,29,76456.69
41,24,83708.83
41,23,14754.77
41,25,15434.544
